theta0_index,theta1_index,theta0_deg,theta1_deg,periapsis_radius_km,periapsis_time_days,selected_half_manifold_sign,jacobi_drift
15,2,218.0,45.0,15938.147975438933,-311.60214798212684,1.0,7.38120675691789e-12
15,3,218.0,67.5,15938.345270041265,-311.6021270295435,1.0,7.347455976969286e-12
15,4,218.0,90.0,15938.660902601581,-311.6021156495326,1.0,7.341238728031385e-12
15,5,218.0,112.5,15939.047561835532,-311.6021158781868,1.0,7.342570995660935e-12
15,6,218.0,135.0,15939.446134286653,-311.6021275782278,1.0,7.362110920894338e-12
15,7,218.0,157.5,15939.796071384872,-311.6021490220267,1.0,7.30393523440398e-12
15,8,218.0,180.0,15940.043687540974,-311.6021767767633,1.0,7.183587058534613e-12
15,9,218.0,202.5,15940.151161177611,-311.6022065667604,1.0,7.339462371191985e-12
15,10,218.0,225.0,15940.102431855368,-311.6022339811045,1.0,7.349232333808686e-12
15,11,218.0,247.5,15939.906034157573,-311.60225530460826,1.0,7.127187728883655e-12
15,12,218.0,270.0,15939.59035771824,-311.60226667013615,1.0,7.246647726333322e-12
15,13,218.0,292.5,15939.202825368677,-311.60226608529115,1.0,7.279510327862226e-12
15,14,218.0,315.0,15938.804152887195,-311.6022543441472,1.0,7.352785047487487e-12
15,15,218.0,337.5,15938.455319489842,-311.6022333511939,1.0,7.2164496600635175e-12
16,0,219.0,0.0,14810.21945196885,-311.61350022738964,1.0,1.1686207557204398e-11
16,1,219.0,22.5,14810.095701731694,-311.61347069818953,1.0,1.1654233134095193e-11
16,2,219.0,45.0,14810.125107052494,-311.6134441892121,1.0,1.1569412095013831e-11
16,3,219.0,67.5,14810.301231135172,-311.6134238846462,1.0,1.1762590901298609e-11
16,4,219.0,90.0,14810.596418690835,-311.613412509355,1.0,1.170619157164765e-11
16,5,219.0,112.5,14810.966145185834,-311.6134119746577,1.0,1.1544987188472078e-11
16,6,219.0,135.0,14811.355218487619,-311.61342283729994,1.0,1.1739498262386405e-11
16,7,219.0,157.5,14811.7031147066,-311.6134428825396,1.0,1.1497913732227971e-11
16,8,219.0,180.0,14811.95711891111,-311.6134691674875,1.0,1.1655565401724743e-11
16,9,219.0,202.5,14812.078941355298,-311.61349785638663,1.0,1.163025231676329e-11
16,10,219.0,225.0,14812.049651369565,-311.6135244152351,1.0,1.1376677377938904e-11
16,11,219.0,247.5,14811.874672292839,-311.6135452196533,1.0,1.1762146812088758e-11
16,12,219.0,270.0,14811.579914160673,-311.613556785125,1.0,1.1552980794249379e-11
16,13,219.0,292.5,14811.209020222606,-311.61355681536594,1.0,1.1650680420416393e-11
16,14,219.0,315.0,14810.820796167638,-311.6135463219485,1.0,1.1721290604782553e-11
16,15,219.0,337.5,14810.472933679632,-311.6135262889367,1.0,1.1461942506230116e-11
17,0,220.0,0.0,13749.528948516734,-311.6266034524616,1.0,1.0026202090784864e-11
17,1,220.0,22.5,13749.393449696374,-311.62657587933603,1.0,9.966250047455105e-12
17,2,220.0,45.0,13749.402688255339,-311.6265497453073,1.0,9.992895400046109e-12
17,3,220.0,67.5,13749.557528868758,-311.62653007629547,1.0,9.92406157251935e-12
17,4,220.0,90.0,13749.831340234521,-311.62651845620985,1.0,1.0060396959943319e-11
17,5,220.0,112.5,13750.183871936795,-311.6265173148643,1.0,9.99822447056431e-12
