member_index,correction_type,curve_samples,previous_max_abs_z_km,max_abs_z_km,delta_max_abs_z_km,previous_rho_rad,rho_rad,delta_rho_rad,mapping_time_days,mapping_time_error_days,mean_jacobi,map_residual_max,curve_jacobi_span,amplitude_residual,phase_residual,one_map_sweep_jacobi_drift,jacobi_ten_return_span,phase_return_error,condition_number,validation_status,gate_1_residual,gate_2_jacobi,gate_3_phase,gate_4_rho_monotone,gate_5_amplitude,gate_6_mapping_time,gate_7_condition,strict_acceptance,passes_10500_gate,passes_11000_gate,failed_gates
58,FixedRotationCurveCorrection,45,14376.72532043214,14258.53675186336,-118.1885685687757,1.457734790708021,1.45779132139701,5.653068898925362e-05,14.74932760227518,1.77635683940025e-15,2.922048392158978,5.83760497069321e-11,1.077049560649357e-11,0,2.927345865710862e-18,1.077093969570342e-11,3.552713678800501e-15,3.209354370126982e-11,33662918.8339087,validated extended CR3BP member,True,True,True,True,False,True,True,False,False,False,gate_5_amplitude
59,FixedRotationCurveCorrection,45,14258.53675186336,14139.07464411542,-119.462107747946,1.45779132139701,1.457825239810403,3.391841339350776e-05,14.74932760227518,1.77635683940025e-15,2.92204779526598,5.53088358644744e-13,5.760725230175012e-12,0,-2.059984127722458e-18,5.761613408594712e-12,2.664535259100376e-15,4.149950685442252e-13,4070060317.253318,validated extended CR3BP member,True,True,True,True,False,True,False,False,False,False,gate_5_amplitude; gate_7_condition
60,FixedRotationCurveCorrection,45,14139.07464411542,14029.29749483314,-109.7771492822758,1.457825239810403,1.45784559085844,2.035104803610466e-05,14.74932760227518,1.77635683940025e-15,2.922047437105301,6.564543245691262e-12,5.88817883340198e-12,0,9.432558900623889e-18,5.88951110103153e-12,2.220446049250313e-15,2.669714766858914e-12,92778251.67597148,validated extended CR3BP member,True,True,True,True,False,True,True,False,False,False,gate_5_amplitude
61,FixedRotationCurveCorrection,45,14029.29749483314,13935.56065438947,-93.73684044367656,1.45784559085844,1.457857801487261,1.221062882161839e-05,14.74932760227518,1.77635683940025e-15,2.922047222195778,3.014616952323632e-10,2.156319567347964e-11,0,1.431146867680866e-17,2.156363976268949e-11,3.108624468950438e-15,1.938308191324426e-10,14360765.77996106,validated extended CR3BP member,True,True,False,True,False,True,True,False,False,False,gate_3_phase; gate_5_amplitude
62,FixedRotationCurveCorrection,45,13935.56065438947,13777.80700855791,-157.7536458315572,1.457857801487261,1.457872454241847,1.46527545861197e-05,14.74932760227518,1.77635683940025e-15,2.922046964305607,1.50717602870821e-13,4.544808973605541e-12,0,-1.062518129035794e-17,4.544808973605541e-12,4.440892098500626e-15,1.157260647583851e-13,578939225.4439095,validated extended CR3BP member,True,True,True,True,False,True,True,False,False,False,gate_5_amplitude
63,FixedRotationCurveCorrection,45,13777.80700855791,13642.24639337391,-135.5606151840038,1.457872454241847,1.457881245894599,8.791652751583001e-06,14.74932760227518,1.77635683940025e-15,2.92204680956187,1.736357716385031e-10,1.188027454190888e-11,0,3.252606517456513e-18,1.188116272032858e-11,3.996802888650564e-15,6.936979468682981e-11,20632203.29339764,validated extended CR3BP member,True,True,True,True,False,True,True,False,False,False,gate_5_amplitude
64,FixedRotationCurveCorrection,45,13642.24639337391,13550.50878112833,-91.73761224557529,1.457881245894599,1.45788652088625,5.274991651038619e-06,14.74932760227518,1.77635683940025e-15,2.922046716717813,5.861487040417642e-14,3.75655062612168e-12,0,2.602085213965211e-18,3.75921516138078e-12,3.108624468950438e-15,1.455657958016929e-14,2016959856.104758,validated extended CR3BP member,True,True,True,True,False,True,False,False,False,False,gate_5_amplitude; gate_7_condition
65,FixedRotationCurveCorrection,45,13550.50878112833,13486.69125196786,-63.81752916047299,1.45788652088625,1.45788968588124,3.164994990534353e-06,14.74932760227518,1.77635683940025e-15,2.922046660995067,1.50211297815862e-09,4.584288504361211e-11,0,-7.589415207398531e-19,4.584377322203181e-11,3.996802888650564e-15,3.852373094005734e-11,81176588.93128933,validated extended CR3BP member,False,True,True,True,False,True,True,False,False,False,gate_1_residual; gate_5_amplitude
66,FixedRotationCurveCorrection,45,13486.69125196786,13410.87063933763,-75.82061263023206,1.45788968588124,1.457893483875229,3.797993988641224e-06,14.74932760227518,1.77635683940025e-15,2.922046594157554,1.128157714840445e-10,8.325784506268974e-12,0,1.734723475976807e-18,8.326228595478824e-12,3.108624468950438e-15,5.388107794808601e-11,45830404.1385313,validated extended CR3BP member,True,True,True,True,False,True,True,False,False,False,gate_5_amplitude
67,FixedRotationCurveCorrection,45,13410.87063933763,13379.57803761285,-31.29260172477188,1.457893483875229,1.457895762671622,2.278796393140325e-06,14.74932760227518,1.77635683940025e-15,2.922046554047906,2.732388405289348e-13,4.797495734010226e-12,0,-7.589415207398531e-18,4.799716180059477e-12,3.108624468950438e-15,7.136563843469699e-15,473610631.5351121,validated extended CR3BP member,True,True,True,True,False,True,True,False,False,False,gate_5_amplitude
68,FixedRotationCurveCorrection,45,13379.57803761285,13404.12772869574,24.54969108288424,1.457895762671622,1.457898497227294,2.734555671901617e-06,14.74932760227518,1.77635683940025e-15,2.922046505914717,8.692969725134689e-13,5.631495270108644e-12,0,1.257674520083185e-17,5.631939359318494e-12,3.108624468950438e-15,4.3046617224941e-14,353911695.8006912,validated extended CR3BP member,True,True,True,True,True,True,True,True,True,True,
