sample,elapsed_days,x_nd,y_nd,z_nd,xdot_nd,ydot_nd,zdot_nd,earth_radius_km,jacobi
750,361.3849488802688,0.9893552690070458,-0.0009893899483359092,0.001999370014561339,-0.001463250900485071,0.008719534394703523,-0.008363235376107761,1626581.830467205,3.000730353763387
751,361.8667954787758,0.9893434867920569,-0.0009169379277302686,0.0019298196960392,-0.001379486756961384,0.008761836030846477,-0.008418139539898456,1625477.404339967,3.000730353763386
752,362.3486420772828,0.9893324031515343,-0.0008441468179895801,0.001859822044059021,-0.001294701017560312,0.008801347675594642,-0.008471168526048883,1624395.052702256,3.000730353763386
753,362.8304886757899,0.9893220263517846,-0.0007710398673332982,0.001789392681376083,-0.001208942503127466,0.008838040008692824,-0.00852230317146118,1623336.231328567,3.000730353763386
754,363.3123352742969,0.9893123642496968,-0.0006976405614042589,0.001718547387770726,-0.001122261174292387,0.00887188507070003,-0.00857152475558493,1622302.338690387,3.000730353763387
755,363.7941818728039,0.9893034242834511,-0.0006239726117966111,0.001647302096264217,-0.001034708093585089,0.00890285630921518,-0.008618815028336257,1621294.713941155,3.000730353763386
756,364.276028471311,0.9892952134635508,-0.0005500599442063446,0.001575672889104667,-0.000946335384878247,0.008930928623689431,-0.008664156237646542,1620314.634970139,3.000730353763387
757,364.757875069818,0.9892877383642028,-0.0004759266862167449,0.001503675993526462,-0.0008571961901958532,0.008956078408677744,-0.008707531156546903,1619363.316530177,3.000730353763386
758,365.239721668325,0.9892810051150661,-0.000401597154732314,0.001431327777287445,-0.0007673446239433149,0.008978283595384173,-0.008748923109693843,1618441.908444675,3.000730353763387
759,365.721568266832,0.9892750193933901,-0.0003270958430758939,0.001358644743988876,-0.0006768357246252431,0.008997523691358318,-0.008788315999241693,1617551.493898761,3.000730353763386
760,366.203414865339,0.9892697864165637,-0.0002524474077648977,0.001285643528183966,-0.0005857254041297827,0.009013779818203916,-0.008825694329968083,1616693.087819575,3.000730353763386
761,366.6852614638461,0.989265310935094,-0.0001776766549836831,0.001212340890281571,-0.0004940703946701941,0.009027034747165177,-0.008861043233559823,1615867.635350412,3.000730353763386
762,367.1671080623531,0.9892615972260346,-0.0001028085267702019,0.001138753711252375,-0.0004019281934862598,0.009037272932461732,-0.008894348491968377,1615076.010423176,3.000730353763386
