member_index,curve_samples,target_jacobi,mode_amplitude_nd,mapping_time_nd,mapping_time_days,rotation_angle_rad,frequency_ratio,curve_residual,curve_jacobi_span,continuation_step,newton_iterations
92,33,3.1389,0.01418608464802481,2.918895873664602,12.6738458834517,0.1713195113899106,36.67524648070889,1.219340482368275e-10,2.52764384089943e-07,0.002428080639036768,4
93,33,3.1389,0.01418495064957386,2.91873166491078,12.67313288904261,0.170307711614256,36.89313447773224,2.501063835385254e-10,2.801770460081343e-07,0.002428146142966482,4
94,33,3.1389,0.01418317966412574,2.918535901060696,12.67228288240554,0.1690949632018695,37.15773189340107,1.188147351055964e-10,3.159528065843631e-07,0.002913775371559779,5
95,33,3.1389,0.01418047140192544,2.918302851482493,12.67127098113698,0.1676418084449399,37.47982299560571,1.456952694582854e-10,3.631354448252466e-07,0.003496530445871734,6
96,33,3.1389,0.01417639542128294,2.918025904602774,12.67006847778524,0.1659013126605993,37.87302949213983,1.848575612073124e-10,4.26518625751271e-07,0.004195836535046081,7
97,33,3.1389,0.01417143449046963,2.917751947913206,12.66887895783914,0.1641646832862394,38.27367239654192,2.327123912906354e-10,4.979965102513972e-07,0.004195836535046081,7
98,33,3.1389,0.01416560783355828,2.917481009475031,12.66770254314059,0.1624322071131425,38.68189331936504,2.910798523046221e-10,5.783833274541905e-07,0.004195836535046081,6
99,33,3.1389,0.01415750251859336,2.917159885974154,12.66630822489977,0.1603590219175471,39.18198821647999,3.770277859936432e-10,6.878480802718911e-07,0.005035003842055297,7
100,33,3.1389,0.01414821474257913,2.916843152079748,12.66493296633026,0.1582925520240787,39.69349932663805,4.860306069168303e-10,8.130428064134776e-07,0.005035003842055297,9
101,33,3.1389,0.01414759537210957,2.916823504774456,12.66484765773068,0.1581636459708087,39.72585020162747,4.93616344448969e-10,8.214262359196312e-07,0.000314687740128456,4
102,33,3.1389,0.01414722161273016,2.91681172512585,12.66479651049644,0.1580863188620572,39.74528189667166,4.982185846358393e-10,8.26488984362328e-07,0.0001888126440770736,3
