theta0_index,theta1_index,theta0_deg,theta1_deg,periapsis_radius_km,periapsis_time_days,selected_half_manifold_sign,jacobi_drift
16,6,219.0,135.0,388905.1980572546,-444.9067874043318,1.0,8.220091274324659e-13
16,7,219.0,157.5,448520.0030680118,-345.30331868295383,1.0,1.0347278589506459e-13
16,8,219.0,180.0,307678.2067448565,-349.1603835041108,1.0,4.0545344859310717e-13
16,9,219.0,202.5,319344.20020679396,-356.3166401600793,1.0,4.0900616227190767e-13
16,10,219.0,225.0,559733.4285254704,-358.7698931029975,1.0,5.773159728050814e-15
16,11,219.0,247.5,114403.86406179734,-429.55082717474926,1.0,8.615330671091215e-13
16,12,219.0,270.0,413484.74459238275,-292.1140135385154,1.0,2.8377300509419e-13
16,13,219.0,292.5,343981.1311934506,-408.7891861433325,1.0,1.382449710263245e-12
16,14,219.0,315.0,387809.7080168067,-444.9052450836951,1.0,8.22453216642316e-13
16,15,219.0,337.5,449146.8201774542,-345.3534933834718,1.0,1.0125233984581428e-13
17,0,220.0,0.0,296852.63137323543,-349.0858912833588,1.0,7.323031070427533e-13
17,1,220.0,22.5,300485.07986123115,-356.4211292987825,1.0,6.865619184281968e-13
17,2,220.0,45.0,532832.8425853194,-358.8591553864527,1.0,2.5757174171303632e-14
17,3,220.0,67.5,190055.25000472137,-425.78850682324446,1.0,5.933031843596837e-13
17,4,220.0,90.0,421066.0819275055,-292.18073133690746,1.0,2.2470914018413168e-13
17,5,220.0,112.5,356244.55266187666,-408.4002918762582,1.0,7.354117315117037e-13
17,6,220.0,135.0,377375.6802196128,-445.4051689457094,1.0,1.659561377209684e-12
17,7,220.0,157.5,441232.6539636389,-345.19771087465244,1.0,4.618527782440651e-13
17,8,220.0,180.0,296674.46187631245,-349.07641255927894,1.0,7.340794638821535e-13
17,9,220.0,202.5,301916.1519354417,-356.45056403617525,1.0,4.827249711070181e-13
17,10,220.0,225.0,531305.2789021573,-358.83587042577074,1.0,2.353672812205332e-14
