kind,sample,phase_deg,periapsis_radius_km,time_days,x_nd,y_nd,z_nd,xdot_nd,ydot_nd,zdot_nd,earth_distance_km,jacobi
targeted_trajectory,83,14.88928708770439,6563.000041081413,94.24436066197075,0.9896197139736025,0.009121809826410393,-4.330434667585769e-22,0.008481607744820339,0.01781779746602987,-5.450762740615203e-22,2066917.545299636,3.000356027154448
targeted_trajectory,84,14.88928708770439,6563.000041081413,95.37983488681374,0.989788393452557,0.009464517108289905,-4.435102515136444e-22,0.00878657801063603,0.01727035357795893,-5.266071311422791e-22,2082543.464593984,3.000356027154448
targeted_trajectory,85,14.88928708770439,6563.000041081413,96.51530911165675,0.9899628354048168,0.009796389082334088,-4.536141980821563e-22,0.009071652747972588,0.01670853177443297,-5.07926854416742e-22,2097859.474156696,3.000356027154448
targeted_trajectory,86,14.88928708770439,6563.000041081413,97.65078333649981,0.9901426519665784,0.01011715579505744,-4.633513230453121e-22,0.009336913327264725,0.01613343959297723,-4.890496148626549e-22,2112801.544243996,3.000356027154448
targeted_trajectory,87,14.88928708770439,6563.000041081413,98.78625756134281,0.9903274571187433,0.01042656851252108,-4.727179069183416e-22,0.009582466423382872,0.01554614232895916,-4.699882815621036e-22,2127307.615682921,3.000356027154448
targeted_trajectory,88,14.88928708770439,6563.000041081413,99.92173178618582,0.9905168671338024,0.01072439890291502,-4.817104696108801e-22,0.009808439253926491,0.01494766387892294,-4.50754512696892e-22,2141317.733723833,3.000356027154448
targeted_trajectory,89,14.88928708770439,6563.000041081413,101.0572060110289,0.9907105009348969,0.01101043823862666,-4.903257476513249e-22,0.0100149753448592,0.01433898787788905,-4.313588448696895e-22,2154774.152281844,3.000356027154449
targeted_trajectory,90,14.88928708770439,6563.000041081413,102.1926802358719,0.9909079803771178,0.01128449662272013,-4.985606731261248e-22,0.01020223079786287,0.01372105904891337,-4.118107791449553e-22,2167621.411754712,3.000356027154448
targeted_trajectory,91,14.88928708770439,6563.000041081413,103.3281544607149,0.9911089304605396,0.0115464022432702,-5.064123542574099e-22,0.01037037102731097,0.01309478469489437,-3.92118862586563e-22,2179806.393469795,3.000356027154448
targeted_trajectory,92,14.88928708770439,6563.000041081413,104.4636286855579,0.9913129794838136,0.01179600065773558,-5.138780575217755e-22,0.01051956793071246,0.01246103627360432,-3.722907643989479e-22,2191278.353633471,3.000356027154448
targeted_trajectory,93,14.88928708770439,6563.000041081413,105.5991029104009,0.991519759146414,0.01203315410850316,-5.209551911983906e-22,0.0106499974543948,0.01182065100695978,-3.523333460557096e-22,2201988.939449397,3.000356027154448
targeted_trajectory,94,14.88928708770439,6563.000041081413,106.734577135244,0.991728904606881,0.0122577408698679,-5.27641290224862e-22,0.0107618375156516,0.01117443348451034,-3.322527250267043e-22,2211892.189847993,3.000356027154448
targeted_trajectory,95,14.88928708770439,6563.000041081413,107.870051360087,0.991940054503647,0.01246965462600863,-5.339340022335226e-22,0.01085526624320683,0.0105231572289614,-3.12054331895756e-22,2220944.523040908,3.000356027154448
targeted_trajectory,96,14.88928708770439,6563.000041081413,109.00552558493,0.9921528509443026,0.01266880387895999,-5.398310746381816e-22,0.01093046049932625,0.009867566198264897,-2.917429608009953e-22,2229104.712886771,3.000356027154448
targeted_trajectory,97,14.88928708770439,6563.000041081413,110.140999809773,0.9923669394684643,0.0128551113851393,-5.453303426411268e-22,0.01098759464897082,0.009208376204461714,-2.713228132336829e-22,2236333.855834864,3.000356027154448
targeted_trajectory,98,14.88928708770439,6563.000041081413,111.276474034616,0.9925819689887473,0.01302851361864755,-5.504297180316062e-22,0.01102683954382715,0.008546276234118052,-2.507975353042644e-22,2242595.330005562,3.000356027154448
targeted_trajectory,99,14.88928708770439,6563.000041081413,112.4119482594591,0.992797591713751,0.01318896025930555,-5.551271786496561e-22,0.01104836169169752,0.007881929658948447,-2.3017024863096e-22,2247854.747772277,3.000356027154448
targeted_trajectory,100,14.88928708770439,6563.000041081413,113.5474224843021,0.9930134630564104,0.01333641370319335,-5.594207583924352e-22,0.01105232258445853,0.007215975328160571,-2.094435750308972e-22,2252079.903031816,3.000356027154449
targeted_trajectory,101,14.88928708770439,6563.000041081413,114.6828967091451,0.9932292415305704,0.01347084859331875,-5.633085376438371e-22,0.01103887816051305,0.006549028536276395,-1.886196552001857e-22,2255240.714188364,3.000356027154448
targeted_trajectory,102,14.88928708770439,6563.000041081413,115.8183709339881,0.9934445886381983,0.01359225136793491,-5.667886340117308e-22,0.01100817838029473,0.005881681861773717,-1.677001615608613e-22,2257309.163731339,3.000356027154448
targeted_trajectory,103,14.88928708770439,6563.000041081413,116.9538451588311,0.993659168749253,0.01370061982394705,-5.698591932604659e-22,0.01096036689589959,0.005214505872921285,-1.466863054316364e-22,2258259.235158529,3.000356027154448
targeted_trajectory,104,14.88928708770439,6563.000041081413,118.0893193836742,0.9938726489758818,0.01379596269278386,-5.725183803290635e-22,0.01089558079828819,0.004548049697722325,-1.25578838648229e-22,2258066.847882978,3.000356027154448
targeted_trajectory,105,14.88928708770439,6563.000041081413,119.2247936085172,0.9940846990423218,0.01387829922605,-5.747643703275811e-22,0.01081395042771682,0.003882841454987389,-1.043780497191359e-22,2256709.790663227,3.000356027154448
targeted_trajectory,106,14.88928708770439,6563.000041081413,120.3602678333602,0.9942949911516117,0.01394765878821624,-5.765953394053768e-22,0.01071559923511906,0.003219388543271074,-8.308375455523365e-23,2254167.654012654,3.000356027154448
targeted_trajectory,107,14.88928708770439,6563.000041081413,121.4957420582032,0.9945031998500089,0.01400408045353404,-5.780094553852221e-22,0.01060064368407855,0.00255817778376008,-6.169528175722184e-23,2250421.761971678,3.000356027154448
targeted_trajectory,108,14.88928708770439,6563.000041081413,122.6312162830463,0.9947090018898177,0.01404761260427584,-5.790048680563142e-22,0.01046919318483627,0.001899675412211466,-4.02114523839902e-23,2245455.103567506,3.000356027154448
targeted_trajectory,109,14.88928708770439,6563.000041081413,123.7666905078893,0.9949120760911832,0.01407831252729418,-5.795796990170924e-22,0.01032135005347498,0.00124432691371439,-1.863055405737799e-23,2239252.264238247,3.000356027154448
targeted_trajectory,110,14.88928708770439,6563.000041081413,124.9021647327323,0.9951121032032908,0.01409624600575566,-5.797320309552186e-22,0.01015720949106614,0.0005925566923812795,3.049690815886534e-24,2231799.357460997,3.000356027154448
targeted_trajectory,111,14.88928708770439,6563.000041081413,126.0376389575753,0.9953087657653226,0.01410148690273185,-5.794598962470089e-22,0.009976859579176132,-5.523243395320692e-05,2.483216300673224e-23,2223083.956796924,3.000356027154448
targeted_trajectory,112,14.88928708770439,6563.000041081413,127.1731131824183,0.9955017479674682,0.01409411673311318,-5.787612647518361e-22,0.009780381289762788,-0.0006986599263708262,4.67203910038525e-23,2213095.02854969,3.000356027154448
targeted_trajectory,113,14.88928708770439,6563.000041081413,128.3085874072613,0.9956907355122654,0.01407422422004278,-5.776340306683668e-22,0.009567848509201145,-0.001337368420056221,6.871860262612363e-23,2201822.865227283,3.000356027154448
targeted_trajectory,114,14.88928708770439,6563.000041081413,129.4440616321044,0.995875415476561,0.01404190483173865,-5.760759983087457e-22,0.009339328078024801,-0.001971024840616134,9.083178431592579e-23,2189259.020001171,3.000356027154448
targeted_trajectory,115,14.88928708770439,6563.000041081413,130.5795358569474,0.9960554761744271,0.01399726029417148,-5.740848666337241e-22,0.00909487985003629,-0.002599321764081998,1.130657488500063e-22,2175396.242372106,3.000356027154448
targeted_trajectory,116,14.88928708770439,6563.000041081413,131.7150100817904,0.9962306070214698,0.01394039807458068,-5.716582123759583e-22,0.00883455677682311,-0.003221979047815146,1.354272123495302e-22,2160228.415278905,3.000356027154448
targeted_trajectory,117,14.88928708770439,6563.000041081413,132.8504843066334,0.996400498401106,0.01387143083022744,-5.687934715599029e-22,0.0085584050265395,-0.003838745765037225,1.579238816358808e-22,2143750.493927643,3.000356027154448
targeted_trajectory,118,14.88928708770439,6563.000041081413,133.9859585314765,0.996564841533591,0.01379047581608252,-5.654879192044857e-22,0.008266464149230501,-0.004449402482213829,1.805645531671883e-22,2125958.44667543,3.000356027154448
targeted_trajectory,119,14.88928708770439,6563.000041081413,135.1214327563195,0.9967233283488607,0.01369765424430709,-5.617386469685686e-22,0.007958767305182824,-0.0050537639262362,2.033592250067068e-22,2106849.198378205,3.000356027154448
